ticker,name,name_simple,average_comments,exclusion
PYPL,PayPal Holdings Inc.,PayPal,21.5299145299145,1
QCOM,QUALCOMM Incorporated,Qualcomm,11.3451327433628,0
QRVO,Qorvo Inc.,Qorvo,1.90196078431372,1
RCL,Royal Caribbean Group,Royal Caribbean,8.45833333333333,0
RE,Everest Re Group Ltd.,Everest Re Group,5.98019801980198,0
REG,Regency Centers Corporation,Regency,1.60526315789473,0
REGN,Regeneron Pharmaceuticals Inc.,Regeneron,4.5875,0
RF,Regions Financial Corporation,Regions Financial,2.734375,0
RHI,Robert Half International Inc.,Robert Half,1.37037037037037,0
RJF,Raymond James Financial Inc.,Raymond James Financial,1.6,0
RL,Ralph Lauren Corporation Class A,Ralph Lauren,2.96969696969696,0
RMD,ResMed Inc.,ResMed,1.70731707317073,0
ROK,Rockwell Automation Inc.,Rockwell Automation,1.81818181818181,0
ROL,Rollins Inc.,Rollins,1.6551724137931,0
ROP,Roper Technologies Inc.,Roper,1.63333333333333,0
ROST,Ross Stores Inc.,Ross,4.57291666666666,0
RSG,Republic Services Inc.,Republic Services,1.76315789473684,0
RTX,Raytheon Technologies Corporation,Raytheon,8.24719101123595,0
SBAC,SBA Communications Corp. Class A,SBA Communications,1.68571428571428,0
SBNY,Signature Bank,Signature Bank,2.33333333333333,0
SBUX,Starbucks Corporation,Starbucks,14.8487394957983,0
SCHW,Charles Schwab Corp,Charles Schwab,7.64601769911504,0
SEDG,SolarEdge Technologies Inc.,SolarEdge,4.33823529411764,1
SEE,Sealed Air Corporation,Sealed Air,6.52,0
SHW,Sherwin-Williams Company,Sherwin,2.30508474576271,0
SIVB,SVB Financial Group,SVB Financial,1.61538461538461,0
SJM,J.M. Smucker Company,Smucker,2.23076923076923,0
SLB,Schlumberger N.V.,Schlumberger,3.24137931034482,0
SNA,Snap-on Incorporated,Snap-on Inc,1.8235294117647,0
SNPS,Synopsys Inc.,Synopsys,2.39473684210526,0
SO,Southern Company,Southern Company,13.6551724137931,0
SPG,Simon Property Group Inc.,Simon Property,4.60655737704918,0
SPGI,S&P Global Inc.,S&P,1.64516129032258,0
SRE,Sempra Energy,Sempra,2.12121212121212,0
STE,STERIS Plc,STERIS,1.61904761904761,0
STLD,Steel Dynamics Inc.,Steel Dynamics,2.76315789473684,0
STT,State Street Corporation,State Street,3.93243243243243,0
STX,Seagate Technology Holdings PLC,Seagate,3.0886075949367,0
STZ,Constellation Brands Inc. Class A,Constellation brands,4.4,0
SWK,Stanley Black & Decker Inc.,Stanley Black & Decker,2.13513513513513,0
SWK,Stanley Black & Decker Inc.,Black & Decker,2.13513513513513,0
SWKS,Skyworks Solutions Inc.,Skyworks,3.6144578313253,0
SYF,Synchrony Financial,Synchrony Financial,2.52,1
SYK,Stryker Corporation,Stryker,1.76470588235294,0
SYY,Sysco Corporation,Sysco,3.66101694915254,0
T,AT&T Inc.,AT&T,57.65,0
T,AT&T Inc.,ATT,57.65,0
TAP,Molson Coors Beverage Company Class B,Coors,2.54666666666666,0
TAP,Molson Coors Beverage Company Class B,Molson,2.54666666666666,0
TDG,TransDigm Group Incorporated,TransDigm Group,2.04545454545454,0
TDY,Teledyne Technologies Incorporated,Teledyne,2.0,0
TECH,Bio-Techne Corporation,Bio-Techne,2.85,0
TEL,TE Connectivity Ltd.,TE Connectivity,1.46428571428571,0
TER,Teradyne Inc.,Teradyne,2.65,0
TFC,Truist Financial Corporation,Truist,5.87096774193548,0
TFX,Teleflex Incorporated,Teleflex,1.68181818181818,0
TGT,Target Corporation,Target,130.55,0
TJX,TJX Companies Inc,TJX,3.35,0
TMO,Thermo Fisher Scientific Inc.,Thermo Fisher,2.89393939393939,0
TMUS,T-Mobile US Inc.,T-Mobile,6.49090909090909,0
TPR,Tapestry Inc.,Tapestry,2.14285714285714,0
TRGP,Targa Resources Corp.,Targa Resources,1.52941176470588,0
TRMB,Trimble Inc.,Trimble,1.95,0
TROW,T. Rowe Price Group,Rowe Price,2.42156862745098,0
TRV,Travelers Companies Inc.,Travelers,3.96938775510204,0
TSCO,Tractor Supply Company,Tractor Supply,1.69642857142857,0
TSLA,Tesla Inc.,Tesla,160.183333333333,0
TSN,Tyson Foods Inc. Class A,Tyson Foods,3.43209876543209,0
TT,Trane Technologies plc,Trane,2.37209302325581,0
TTWO,Take-Two Interactive Software Inc.,Take-Two,6.15841584158415,0
TXN,Texas Instruments Incorporated,Texas Instruments,3.7875,0
TXT,Textron Inc.,Textron,2.0,0
TYL,Tyler Technologies Inc.,Tyler Tech,1.5,0
UAL,United Airlines Holdings Inc.,United Airlines,10.0,0
UDR,UDR Inc.,UDR,1.28571428571428,0
UHS,Universal Health Services Inc. Class B,Universal Health Services,1.35,0
ULTA,Ulta Beauty Inc.,Ulta Beauty,4.48684210526315,0
UNH,UnitedHealth Group Incorporated,United Health,5.53125,0
UNP,Union Pacific Corporation,Union Pacific,2.84210526315789,0
UPS,United Parcel Service Inc. Class B,United Parcel,7.6788990825688,0
URI,United Rentals Inc.,United Rentals,2.46551724137931,0
USB,U.S. Bancorp,Bancorp,5.8125,0
V,Visa Inc. Class A,Visa,37.4083333333333,0
VFC,V.F. Corporation,VF Corporation,2.07017543859649,0
VICI,VICI Properties Inc,VICI Properties,1.26315789473684,1
VLO,Valero Energy Corporation,Valero,2.39506172839506,0
VMC,Vulcan Materials Company,Vulcan,2.83333333333333,0
VRSK,Verisk Analytics Inc,Verisk Analytics,1.35714285714285,0
VRSN,VeriSign Inc.,VeriSign,1.90625,0
VRTX,Vertex Pharmaceuticals Incorporated,Vertex,2.95652173913043,0
VTR,Ventas Inc.,Ventas,1.60975609756097,0
VTRS,Viatris Inc.,Viatris,3.91304347826086,0
VZ,Verizon Communications Inc.,Verizon,11.7833333333333,0
WAB,Westinghouse Air Brake Technologies Corporation,Westinghouse Air Brake,1.83333333333333,0
WAT,Waters Corporation,Waters,6.14035087719298,0
WBA,Walgreens Boots Alliance Inc.,Walgreens,6.66326530612244,0
WBD,Warner Bros. Discovery Inc. Series A,Warner,5.72815533980582,0
WDC,Western Digital Corporation,Western Digital,4.22988505747126,0
WEC,WEC Energy Group Inc,WEC Energy,1.6060606060606,0
WELL,Welltower Inc.,Welltower,4.59090909090909,0
